time,lat,lon,depth,chla_acs
43583.42361,26.694885,-157.995238,6,0.089742
43583.41597,26.73107,-157.993143,6,0.089978
43583.41528,26.734342,-157.99291,6,0.089493
43583.41458,26.737594,-157.992733,6,0.091038
43583.41389,26.740845,-157.992603,6,0.094366
43583.41319,26.74409,-157.992435,6,0.094504
43583.4125,26.747324,-157.992202,6,0.09198
43583.41181,26.750574,-157.991992,6,0.092057
43583.41111,26.753833,-157.991881,6,0.095469
43583.41042,26.757077,-157.991793,6,0.094828
43583.40972,26.760294,-157.991586,6,0.0951
43583.40903,26.763512,-157.991415,6,0.095249
43583.40833,26.766716,-157.991194,6,0.096569
43583.40764,26.769902,-157.991026,6,0.093801
43583.40694,26.773093,-157.990922,6,0.092361
43583.40625,26.776302,-157.990812,6,0.097587
43583.40556,26.779507,-157.990695,6,0.095285
43583.40486,26.782733,-157.99061,6,0.092122
43583.40417,26.785942,-157.990507,6,0.091603
43583.40347,26.789161,-157.990416,6,0.092337
43583.40278,26.792381,-157.990282,6,0.092745
43583.40208,26.795607,-157.990149,6,0.087975
43583.40139,26.798835,-157.990057,6,0.087615
43583.40069,26.80208,-157.989873,6,0.088471
43583.4,26.805305,-157.989775,6,0.088407
43583.39931,26.808529,-157.989663,6,0.088715
43583.39861,26.811756,-157.989482,6,0.088647
43583.39792,26.814986,-157.989295,6,0.0888
43583.39722,26.818198,-157.989195,6,0.094357
43583.39653,26.821406,-157.989126,6,0.090167
43583.39583,26.824581,-157.989038,6,0.091429
43583.39514,26.827765,-157.989068,6,0.094643
43583.39444,26.830934,-157.989039,6,0.090073
43583.39375,26.834088,-157.988943,6,0.087957
43583.39306,26.837248,-157.988818,6,0.088987
43583.39236,26.840382,-157.988678,6,0.089242
43583.39167,26.843515,-157.988583,6,0.087623
43583.39097,26.846653,-157.988471,6,0.091898
43583.39028,26.849783,-157.988457,6,0.092291
43583.38958,26.852802,-157.989166,6,0.090569
43583.38889,26.855046,-157.991288,6,0.088713
43583.38819,26.855777,-157.994106,6,0.08854
43583.3875,26.855555,-157.996574,6,0.088926
43583.38681,26.855332,-157.998083,6,0.093652
43583.38611,26.855292,-157.998401,6,0.092978
43583.38542,26.855288,-157.998402,6,0.089022
43583.38472,26.855274,-157.998401,6,0.090021
43583.38403,26.855262,-157.998403,6,0.092133
43583.38333,26.855251,-157.998407,6,0.089772
43583.38264,26.855253,-157.998404,6,0.086738
43583.38194,26.855244,-157.998413,6,0.086486
43583.37431,26.855092,-157.998416,6,0.088808
43583.37361,26.855049,-157.998431,6,0.084962
43583.37292,26.854996,-157.99842,6,0.08595
